index,title,issn,zone
112,Swiss Journal of Palaeontology,1664-2376,2区
113,MARINE GEOLOGY,0025-3227,2区
114,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,1525-2027,2区
115,Remote Sensing,2072-4292,2区
116,CLIMATE DYNAMICS,0930-7575,2区
117,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2区
118,JOURNAL OF PETROLOGY,0022-3530,2区
119,Geoscientific Model Development,1991-959X,2区
120,Geo-Spatial Information Science,1009-5020,2区
121,ARCHAEOMETRY,0003-813X,2区
122,LITHOS,0024-4937,2区
123,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0967-0637,2区
124,International Journal of Digital Earth,1753-8947,2区
125,Chinese Geographical Science,1002-0063,2区
126,International Journal of Disaster Risk Science,2095-0055,2区
127,Marine Pollution Bulletin,0025-326X,2区
128,Journal of Palaeogeography-English,2095-3836,2区
129,China Geology,2096-5192,2区
130,Atmospheric and Oceanic Science Letters,1674-2834,2区
131,地球物理学报,0001-5733,2区
132,岩石学报,1000-0569,2区
133,ACTA OCEANOLOGICA SINICA,0253-505X,2区
134,Journal of Oceanology and Limnology,2096-5508,2区
135,Journal of Ocean University of China,1672-5182,2区
136,GEOGRAPHICAL ANALYSIS,0016-7363,3区
137,JOURNAL OF GEOCHEMICAL EXPLORATION,0375-6742,3区
138,Earth Surface Dynamics,2196-6311,3区
139,Archaeological Prospection,1075-2196,3区
140,SEDIMENTARY GEOLOGY,0037-0738,3区
141,JOURNAL OF ASIAN EARTH SCIENCES,1367-9120,3区
142,BSGF-Earth Sciences Bulletin,0037-9409,3区
143,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,1477-2019,3区
144,JOURNAL OF PHYSICAL OCEANOGRAPHY,0022-3670,3区
145,BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,0037-1106,3区
146,Palaeoentomology,2624-2826,3区
147,Aeolian Research,1875-9637,3区
148,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,0034-6667,3区
149,NEWSLETTERS ON STRATIGRAPHY,0078-0421,3区
150,OCEANOLOGIA,0078-3234,3区
151,Annals of GIS,1947-5683,3区
152,Anthropocene Review,2053-0196,3区
153,Ocean Science,1812-0784,3区
154,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,0883-6353,3区
155,PERMAFROST AND PERIGLACIAL PROCESSES,1045-6740,3区
156,CRETACEOUS RESEARCH,0195-6671,3区
